file,bytes,sha1,sheetId,title,records,decodedRecords,unknownRecords,recordBytes,residualBytes,unresolvedFields,engineeringObjects,functionBlocks,junctions,ioObjects,deviceTags,loopTags,irefs,orefs,connections,danglingWires,descriptions,parameters,specEntries,fcDecoded,unresolvedXrefs,trailerClean,warnings,coverage
25305H1A.CAD,5695,250fc4162ba3,25305H1,DEVICE DRIVER DISPLAY TYPE,177,177,0,5232,0,55,199,27,1,3,12,12,11,1,47,0,100,37,9,9,0,true,3,1
25305H2A.CAD,5448,0a26e7e4e8d6,25305H2,DEVICE DRIVER DISPLAY TYPE,169,169,0,4996,0,48,191,27,1,3,12,12,11,1,48,0,91,39,9,9,0,true,2,1
25305H4A.CAD,2808,ca0d8f48dd1c,25305H4A,INITIALE RELEASE,78,78,0,2310,0,17,86,17,3,2,5,5,4,1,16,0,40,45,8,8,0,true,2,1
25305H5A.CAD,2097,4fa1b6d82bb6,25305H5A,INITIALE RELEASE,58,58,0,1684,0,6,60,11,2,2,2,2,2,0,6,0,37,26,6,6,0,true,1,1
25305H6A.CAD,1332,f7564484b7a1,25305H6A,NCG GAS OUTLET PRESSURE CTRL,27,27,0,908,0,10,33,8,2,3,3,3,2,1,10,0,7,22,2,2,0,true,1,1
25305H7A.CAD,1414,e39a3dc78984,25305H7A,,31,31,0,990,0,13,37,9,3,3,3,3,2,1,13,0,6,26,2,2,0,true,1,1
25305K0A.CAD,1098,aeb5acef6bcc,25305K0,FLOW COOLING TOWER,26,26,0,754,0,3,24,3,0,0,0,0,0,0,2,0,19,9,2,2,0,true,2,1
25305K1A.CAD,1306,f98ab29138bc,25305K1,EVAPORATOR SEWER CONDUCTIVITY,29,29,0,978,0,2,31,5,0,1,2,2,1,1,2,0,20,8,1,1,0,true,1,1
25305K2A.CAD,1283,b1dcd089083a,25305K2,COMBINE COND. FLOW FROM EVAP,29,29,0,944,0,4,29,5,0,1,1,1,1,0,2,0,20,10,2,2,0,true,2,1
25305K3A.CAD,1234,cf3521f4c547,25305K3A,DNCG TEMPERATURE,28,28,0,906,0,3,28,4,0,1,1,1,1,0,1,0,21,7,1,1,0,true,2,1
25305L0A.CAD,2866,df76fe367568,25305L0A,INITIALE RELEASE,80,80,0,2406,0,18,86,19,3,3,4,4,2,2,18,0,38,33,9,9,0,true,1,1
25305L1A.CAD,6092,2298966e9086,25305L1,SEAL WATER PUMP,202,202,0,5506,0,72,216,38,9,8,8,8,6,2,72,0,81,66,18,18,0,true,2,1
25305L2A.CAD,1558,eb688a75891d,25305L2,INITIALE RELEASE,45,45,0,1250,0,1,45,4,0,1,1,1,1,0,1,0,38,4,1,1,0,true,1,1
25305L3A.CAD,3726,4b49db564ec0,25305L3,INITIALE RELEASE,112,112,0,3216,0,33,122,24,6,2,6,6,3,3,31,0,49,53,15,15,0,true,3,1
25305L4A.CAD,5248,d9f93e8c931b,25305L4,INITIALE RELEASE,173,173,0,4742,0,61,185,33,8,6,7,7,4,3,61,0,69,46,13,13,0,true,2,1
25305L5A.CAD,1738,bcc04ad26c88,25305L5,INITIALE RELEASE,50,50,0,1374,0,7,50,6,1,1,1,1,1,0,4,0,37,18,4,4,0,true,2,1
25305L6A.CAD,5256,ff346fbfb3f8,25305L6,INITIALE RELEASE,173,173,0,4750,0,61,185,33,8,6,7,7,4,3,61,0,69,46,13,13,0,true,2,1
25305L7A.CAD,1738,33e3f1dc7dcf,25305L7,INITIALE RELEASE,50,50,0,1374,0,7,50,6,1,1,1,1,1,0,4,0,37,18,4,4,0,true,2,1
25305L8A.CAD,5314,3ec389056178,25305L8,INITIALE RELEASE,176,176,0,4808,0,61,188,33,8,6,7,7,4,3,61,0,72,46,13,13,0,true,2,1
25305L9A.CAD,1737,66b0054882cb,25305L9,INITIALE RELEASE,50,50,0,1374,0,7,50,6,1,1,1,1,1,0,4,0,37,18,4,4,0,true,2,1
25305M0A.CAD,5264,463acc8ee17a,25305M0,INITIALE RELEASE,174,174,0,4758,0,61,186,33,8,6,7,7,4,3,61,0,70,46,13,13,0,true,2,1
25305M1A.CAD,1738,19f22296b186,25305M1,INITIALE RELEASE,50,50,0,1374,0,7,50,6,1,1,1,1,1,0,4,0,37,18,4,4,0,true,2,1
25305M2A.CAD,5624,df2a978f019e,25305M2,STRIP COLUMN COND PUMP,187,187,0,5118,0,65,199,33,9,6,7,7,5,2,65,0,78,46,13,13,0,true,2,1
25305M3A.CAD,2752,d9b24867ac93,25305M3,INITIALE RELEASE,77,77,0,2324,0,17,83,16,3,3,4,4,3,1,17,0,39,27,6,6,0,true,1,1
